cited_paper,citing_title,year,venue,doi,citing_paper_citations,self_citation,citing_authors,institutions,countries,source
BeamSurfer (IEEE TWC 2022),Deep Learning-Based Target-to-User Association in Integrated Sensing and Communication Systems,2024,IEEE Journal of Selected Topics in Signal Processing,10.1109/jstsp.2024.3438128,14,no,Lorenzo Cazzella; Marouan Mizmizi; Dario Tagliaferri; Damiano Badini; Matteo Matteucci; Umberto Spagnolini,Politecnico di Milano,IT,OpenAlex+SemanticScholar
BeamSurfer (IEEE TWC 2022),BeamSurfer: Minimalist Beam Management of Mobile mm-Wave Devices,2022,IEEE Transactions on Wireless Communications,10.1109/twc.2022.3171189,7,yes,Santosh Ganji; Tzu-Hsiang Lin; Francisco A. Espinal; P. R. Kumar,Texas A&M University,US,OpenAlex
BeamSurfer (IEEE TWC 2022),TERRA: Beam Management for Outdoor mm-Wave Networks,2024,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3425574,6,yes,Santosh Ganji; Jaewon Kim; Romil Sonigra; P. R. Kumar,Texas A&M University,US,OpenAlex+SemanticScholar
BeamSurfer (IEEE TWC 2022),UNBLOCK: Low Complexity Transient Blockage Recovery for Mobile mm-Wave Devices,2021,arXiv (Cornell University),10.1109/comsnets51098.2021.9352816,6,yes,Santosh Ganji; Tzu-Hsiang Lin; Francisco A. Espinal; P. R. Kumar,Mitchell Institute; Texas A&M University,US,OpenAlex
BeamSurfer (IEEE TWC 2022),Terra: blockage resilience in outdoor mm-wave networks,2022,SIGCOMM Posters and Demos,10.1145/3546037.3546063,3,yes,Santosh Ganji; Jaewon Kim; P. R. Kumar,,,SemanticScholar
BeamSurfer (IEEE TWC 2022),Overcoming Pedestrian Blockage in mm-Wave Bands using Ground Reflections,2021,arXiv (Cornell University),10.48550/arxiv.2110.13884,2,yes,Santosh Ganji; Romil Sonigra; P. R. Kumar,,,OpenAlex
BeamSurfer (IEEE TWC 2022),Eavesdropper Avoidance through Adaptive Beam Management in SDR-Based MmWave Communications,2024,International Symposium on Wireless Communication Systems,10.1109/iswcs61526.2024.10639164,1,no,Adrian Baron-Hyppolite; Joao F. Santos; Luiz A. DaSilva; Jacek Kibiłda,Virginia Tech,US,OpenAlex+SemanticScholar
BeamSurfer (IEEE TWC 2022),Silent tracker,2021,,10.1145/3472716.3472871,1,yes,Santosh Ganji; Tzu-Hsiang Lin; Jaewon Kim; P. R. Kumar,,,OpenAlex
BeamSurfer (IEEE TWC 2022),Latent Thompson Sampling-Based mmWave Receive Beam Measurement and Selection to Tackle User Orientation Changes and Mobility,2025,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3575718,0,no,Ashok Kumar Reddy Chavva; Neelesh B. Mehta,Indian Institute of Science Bangalore; Samsung (India),IN,OpenAlex+SemanticScholar
BeamSurfer (IEEE TWC 2022),Environment-Aware Proactive Beam Prediction in mmWave V2I via Multi-Modal Prior Mask Map,2026,Sensors,10.3390/s26082488,0,no,Changpeng Zhou; Youyun Xu,Nanjing University of Posts and Telecommunications,CN,OpenAlex+SemanticScholar
BeamSurfer (IEEE TWC 2022),0cal: Zero-Cost Calibration for mmWave Networks,2026,,10.1145/3774906.3802748,0,no,Xin Liu; Wei-Han Chen; Kannan Srinivasan,Florida State University; The Ohio State University,US,OpenAlex
Beamsurfer (SIGCOMM'20 Posters),TERRA: Beam Management for Outdoor mm-Wave Networks,2023,IEEE Transactions on Wireless Communications,10.1109/TWC.2024.3425574,6,yes,Santosh Ganji; Jaewon Kim; Romil Sonigra; P. R. Kumar,,,SemanticScholar
Beamsurfer (SIGCOMM'20 Posters),BeamSurfer: Minimalist Beam Management of Mobile mm-Wave Devices,2021,IEEE Transactions on Wireless Communications,10.1109/TWC.2022.3171189,6,yes,V. Siva; Santosh Ganji; Tzu-Hsiang Lin; Francisco A. Espinal; F. I. P. R. Kumar,,,SemanticScholar
Beamsurfer (SIGCOMM'20 Posters),UNBLOCK: Low Complexity Transient Blockage Recovery for Mobile mm-Wave Devices,2021,International Conference on Communication Systems and Networks,10.1109/COMSNETS51098.2021.9352816,6,yes,Venkata Siva Santosh Ganji; Tzu-Hsiang Lin; Francisco A. Espinal; P. Kumar,,,SemanticScholar
Beamsurfer (SIGCOMM'20 Posters),Terra: blockage resilience in outdoor mm-wave networks,2022,SIGCOMM Posters and Demos,10.1145/3546037.3546063,3,yes,Santosh Ganji; Jaewon Kim; P. R. Kumar,,,SemanticScholar
Beamsurfer (SIGCOMM'20 Posters),Overcoming Pedestrian Blockage in mm-Wave Bands using Ground Reflections,2021,arXiv.org,,2,yes,Santosh Ganji; Romil Sonigra; F. I. P. R. Kumar,,,SemanticScholar
Beamsurfer (SIGCOMM'20 Posters),Silent tracker: in-band beam management for soft handover for mm-wave networks,2021,SIGCOMM Posters and Demos,10.1145/3472716.3472871,0,yes,Venkata Siva Santosh Ganji; Tzu-Hsiang Lin; Jaewon Kim; P. R. Kumar,,,SemanticScholar
A directional medium access contro (COMSNETS 2018),Iris: A Directional MAC Protocol With Applications to Millimeter-Wave Mobile Ad-Hoc Networks,2019,International Conference on Communication Systems and Networks,10.1109/COMSNETS.2019.8711061,1,yes,Bharadwaj Satchidanandan; Venkata Siva Santosh Ganji; P. R. Kumar,,,SemanticScholar
Overcoming pedestrian blockage in  (arXiv 2021),Continuous Steering Backups of NLoS-Assisted mmWave Networks to Avoid Blocking,2023,Information and Communication Technology Convergence,10.1109/ICTC58733.2023.10393148,6,no,Rafid I. Abd; K. Kim,,,SemanticScholar
Overcoming pedestrian blockage in  (arXiv 2021),Hybrid Beam Alignment for Multi-Path Channels: A Group Testing Viewpoint,2021,"Asilomar Conference on Signals, Systems and Computers",10.1109/IEEECONF56349.2022.10051965,2,no,Ozlem Yildiz; Abbas Khalili; E. Erkip,,,SemanticScholar
Improved physical downlink control (COMSNETS 2018),Design and performance analysis of joint control and shared channel scheduler for downlink in 3GPP narrowband-IoT,2021,Ad Hoc Networks,10.1016/j.adhoc.2021.102440,3,yes,Pavan Reddy M.; Abhinav Kumar; Kiran Kuchi,,,Crossref
Improved physical downlink control (COMSNETS 2018),Repetition with Learning Approaches in Massive Machine Type Communications,2022,Electronics,10.3390/electronics11223649,2,no,Li-Sheng Chen; Chih-Hsiang Ho; Cheng-Chang Chen; Yu-Shan Liang; Sy-Yen Kuo,Bureau of Standards; Feng Chia University; Institute for Information Industry; National Kaohsiung University of Science and Technology; National Taiwan University,,Crossref
Improved physical downlink control (COMSNETS 2018),Joint Control and Shared Channel Scheduling for Downlink in 3GPP Narrowband-IoT,2020,International Conference on Communication Systems and Networks,10.1109/COMSNETS48256.2020.9027476,1,yes,Pavan Reddy Manne; Abhinav Kumar; K. Kuchi,,,SemanticScholar
Iris (COMSNETS 2019),UNBLOCK: Low Complexity Transient Blockage Recovery for Mobile mm-Wave Devices,2021,International Conference on Communication Systems and Networks,10.1109/COMSNETS51098.2021.9352816,6,yes,Venkata Siva Santosh Ganji; Tzu-Hsiang Lin; Francisco A. Espinal; P. Kumar,,,SemanticScholar
Scheduling and Decoding of Downlin (IEEE Access 2020),Offset-Aware Resource Allocation in NB-IoT Networks,2022,IEEE Internet of Things Journal,10.1109/jiot.2022.3189004,11,no,Ya-Ju Yu; Liang-Xian Li,National University of Kaohsiung,TW,OpenAlex+SemanticScholar
Scheduling and Decoding of Downlin (IEEE Access 2020),Control Period Adaptation and Resource Allocation for Joint Uplink and Downlink in NB-IoT Networks,2024,IEEE Internet of Things Journal,10.1109/jiot.2024.3355404,10,no,Ya-Ju Yu; You‐Chiun Wang; Chia-Hsin Fan,National Sun Yat-sen University; National University of Kaohsiung,TW,OpenAlex+SemanticScholar
Scheduling and Decoding of Downlin (IEEE Access 2020),SmartCon: Deep Probabilistic Learning-Based Intelligent Link-Configuration in Narrowband-IoT Toward 5G and B5G,2021,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2021.3130985,7,no,Raja Karmakar; Georges Kaddoum; Samiran Chattopadhyay,Jadavpur University; TCG Crest; Université du Québec à Montréal; École de Technologie Supérieure,CA; IN,OpenAlex+SemanticScholar
Scheduling and Decoding of Downlin (IEEE Access 2020),Energy-Efficient Scheduling for Search-Space Periods in NB-IoT Networks,2023,IEEE Systems Journal,10.1109/jsyst.2023.3264261,7,no,Ya-Ju Yu; Chua-Ling Wu,National University of Kaohsiung,TW,OpenAlex+SemanticScholar
Scheduling and Decoding of Downlin (IEEE Access 2020),Optimal Design of a Hybrid Solar PV/BG-Powered Heterogeneous Network,2022,Sustainability,10.3390/su14042201,6,no,Md. Sanwar Hossain; Khondoker Ziaul Islam; Abdullah G. Alharbi; Md Shafiullah; Md. Rabiul Islam; Afef Fekih,Bangladesh University of Business and Technology; Jouf University; King Fahd University of Petroleum & Minerals; Murdoch University; University of Louisiana at Lafayette; University of Wollongong,,Crossref
Scheduling and Decoding of Downlin (IEEE Access 2020),An ICI-Aware Scheduler for NB-IoT Devices in Co-existence with 5G NR,2021,2021 IEEE 4th 5G World Forum (5GWF),10.1109/5gwf52925.2021.00048,4,no,Shahida Jabeen; Anwar Haque,,,Crossref
Scheduling and Decoding of Downlin (IEEE Access 2020),Joint Link Adaptation and Resource Allocation for Uplink in 3GPP Machine-Type Communications,2022,2022 14th International Conference on COMmunication Systems &amp; NETworkS (COMSNETS),10.1109/comsnets53615.2022.9668335,1,yes,Pavan Reddy M.; Abhinav Kumar; Kiran Kuchi,Indian Institute of Technology,,Crossref
Scheduling and Decoding of Downlin (IEEE Access 2020),PDCCH Scheduling via Maximum Independent Set,2024,arXiv.org,10.48550/arXiv.2405.04283,1,no,Lorenzo Maggi; Alvaro Valcarce Rial; Alois Herzog; S. Kalyanasundaram; R. Agrawal,,,SemanticScholar
Scheduling and Decoding of Downlin (IEEE Access 2020),Development of a novel OMNET++ framework for analysis of an NB-IoT uplink network,2024,2024 International Conference on Emerging Trends in Smart Technologies (ICETST),10.1109/icetst62952.2024.10737960,0,no,Sundus Ali; Muhammad Imran Aslam; Irfan Ahmed; Syed Talib Abbas Jafri; Tahniyat Aslam,NED University of Engineering and Technology,PK,OpenAlex+SemanticScholar
Downlink control channel schedulin (IEEE PIMRC 2018),NPDCCH Period Adaptation and Downlink Scheduling for NB-IoT Networks,2020,IEEE Internet of Things Journal,10.1109/jiot.2020.3010532,19,no,Ya-Ju Yu,National University of Kaohsiung,TW,OpenAlex+SemanticScholar
Downlink control channel schedulin (IEEE PIMRC 2018),Control Period Adaptation and Resource Allocation for Joint Uplink and Downlink in NB-IoT Networks,2024,IEEE Internet of Things Journal,10.1109/jiot.2024.3355404,10,no,Ya-Ju Yu; You‐Chiun Wang; Chia-Hsin Fan,National Sun Yat-sen University; National University of Kaohsiung,TW,OpenAlex+SemanticScholar
Downlink control channel schedulin (IEEE PIMRC 2018),Scheduling and Decoding of Downlink Control Channel in 3GPP Narrowband-IoT,2020,IEEE Access,10.1109/access.2020.3026077,8,yes,M. Pavan Reddy; Santosh Ganji; Abhinav Kumar; Kiran Kuchi,Indian Institute of Technology Hyderabad; Texas A&M University,IN; US,OpenAlex+SemanticScholar
Downlink control channel schedulin (IEEE PIMRC 2018),Energy-Efficient Scheduling for Search-Space Periods in NB-IoT Networks,2023,IEEE Systems Journal,10.1109/jsyst.2023.3264261,7,no,Ya-Ju Yu; Chua-Ling Wu,National University of Kaohsiung,TW,OpenAlex+SemanticScholar
Downlink control channel schedulin (IEEE PIMRC 2018),Joint Control and Shared Channel Scheduling for Downlink in 3GPP Narrowband-IoT,2020,International Conference on Communication Systems and Networks,10.1109/comsnets48256.2020.9027476,6,yes,M. Pavan Reddy; Abhinav Kumar; Kiran Kuchi,Indian Institute of Technology Hyderabad,IN,OpenAlex+SemanticScholar
Downlink control channel schedulin (IEEE PIMRC 2018),Design and performance analysis of joint control and shared channel scheduler for downlink in 3GPP narrowband-IoT,2021,Ad Hoc Networks,10.1016/j.adhoc.2021.102440,3,yes,Pavan Reddy M.; Abhinav Kumar; Kiran Kuchi,,,Crossref
