citing_author,citing_papers,is_ganji_coauthor,cites_which_ganji_papers,own_institutions
Milind Tambe,10,no,NeurWIN (NeurIPS 2021),Google (United States); Harvard University
Konstantin Avrachenkov,7,no,NeurWIN (NeurIPS 2021),Institut national de recherche en sciences et technologies du numérique
Santosh Ganji,7,yes,BeamSurfer (IEEE TWC 2022); Downlink Control Channel Schedulin (IEEE PIMRC 2018),Mitchell Institute; Texas A&M University
Aparna Taneja,6,no,NeurWIN (NeurIPS 2021),
Guojun Xiong,6,no,NeurWIN (NeurIPS 2021),Binghamton University; Stony Brook University
P. R. Kumar,6,yes,BeamSurfer (IEEE TWC 2022),Mitchell Institute; Texas A&M University
Abhinav Kumar,5,yes,Downlink Control Channel Schedulin (IEEE PIMRC 2018); Scheduling and Decoding of Downlin (IEEE Access 2020),Indian Institute of Technology Hyderabad
Jian Li,5,no,NeurWIN (NeurIPS 2021),Binghamton University; Stony Brook University
Kiran Kuchi,5,yes,Downlink Control Channel Schedulin (IEEE PIMRC 2018); Scheduling and Decoding of Downlin (IEEE Access 2020),Indian Institute of Technology Hyderabad
Lily Xu,5,no,NeurWIN (NeurIPS 2021),Harvard University
M. Pavan Reddy,5,yes,Downlink Control Channel Schedulin (IEEE PIMRC 2018); Scheduling and Decoding of Downlin (IEEE Access 2020),Indian Institute of Technology Hyderabad
Dheeraj M. Nagaraj,4,no,NeurWIN (NeurIPS 2021),
Srinivas Shakkottai,4,yes,NeurWIN (NeurIPS 2021),
Vivek S. Borkar,4,no,NeurWIN (NeurIPS 2021),Indian Institute of Technology Bombay
Ya-Ju Yu,4,no,Downlink Control Channel Schedulin (IEEE PIMRC 2018); Scheduling and Decoding of Downlin (IEEE Access 2020),National University of Kaohsiung
Yunfan Zhao,4,no,NeurWIN (NeurIPS 2021),Harvard University
Arpita Biswas,3,no,NeurWIN (NeurIPS 2021),Harvard University
Dinesh Bharadia,3,no,NeurWIN (NeurIPS 2021),
Edwin Zhang,3,no,NeurWIN (NeurIPS 2021),Harvard University
Jackson A. Killian,3,no,NeurWIN (NeurIPS 2021),Harvard University
Jaewon Kim,3,no,BeamSurfer (IEEE TWC 2022),Texas A&M University
Jing Fu,3,no,NeurWIN (NeurIPS 2021),RMIT University
Nikhil Behari,3,no,NeurWIN (NeurIPS 2021),Harvard University
Quan Pan,3,no,NeurWIN (NeurIPS 2021),Northwestern Polytechnical University
Shu-Fan Wang,3,no,NeurWIN (NeurIPS 2021),
Tzu-Hsiang Lin,3,yes,BeamSurfer (IEEE TWC 2022),Mitchell Institute; Texas A&M University
U. Ayesta,3,no,NeurWIN (NeurIPS 2021),
Ujwal Dinesha,3,no,NeurWIN (NeurIPS 2021),
Ushasi Ghosh,3,no,NeurWIN (NeurIPS 2021),
Weina Wang,3,no,NeurWIN (NeurIPS 2021),Carnegie Mellon University
Yuhang Hao,3,no,NeurWIN (NeurIPS 2021),Northwestern Polytechnical University
Zengfu Wang,3,no,NeurWIN (NeurIPS 2021),Northwestern Polytechnical University
Bruno Gaujal,2,no,NeurWIN (NeurIPS 2021),
Edward Hughes,2,no,NeurWIN (NeurIPS 2021),Google (United Kingdom)
Francisco A. Espinal,2,yes,BeamSurfer (IEEE TWC 2022),Mitchell Institute; Texas A&M University
Francisco Robledo,2,no,NeurWIN (NeurIPS 2021),Laboratoire de Mathématiques et de leurs Applications; University of the Basque Country; Université de Pau et des Pays de l'Adour
I. Mimouni,2,no,NeurWIN (NeurIPS 2021),
Karl Tuyls,2,no,NeurWIN (NeurIPS 2021),Google (United Kingdom)
Meng Zhang,2,no,NeurWIN (NeurIPS 2021),Zhejiang University
Mengqiu Zhou,2,no,NeurWIN (NeurIPS 2021),Zhejiang University
Nicolas Gast,2,no,NeurWIN (NeurIPS 2021),Centre Inria de l'Université Grenoble Alpes; Centre National de la Recherche Scientifique; Institut polytechnique de Grenoble; Laboratoire d'Informatique de Grenoble; Université Grenoble Alpes
Qing-Shan Jia,2,no,NeurWIN (NeurIPS 2021),
Rahul Meshram,2,no,NeurWIN (NeurIPS 2021),Indian Institute of Technology Madras
Raini Wu,2,no,NeurWIN (NeurIPS 2021),
Romil Sonigra,2,no,BeamSurfer (IEEE TWC 2022),Texas A&M University
Vincent Y. F. Tan,2,no,NeurWIN (NeurIPS 2021),National University of Singapore
Wei-Chen Chen,2,no,BeamSurfer (IEEE TWC 2022); NeurWIN (NeurIPS 2021),The Ohio State University
Woo-Hyun Ko,2,no,NeurWIN (NeurIPS 2021),
Xiangcheng Zhang,2,no,NeurWIN (NeurIPS 2021),
A. Hegde,1,no,NeurWIN (NeurIPS 2021),
Abdullah G. Alharbi,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),Jouf University
Adrian Baron-Hyppolite,1,no,BeamSurfer (IEEE TWC 2022),Virginia Tech
Afef Fekih,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),University of Louisiana at Lafayette
Alois Herzog,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),
Alvaro Valcarce Rial,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),
Andrew Perrault,1,no,NeurWIN (NeurIPS 2021),
Anwar Haque,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),Western University
Archana Bura,1,no,NeurWIN (NeurIPS 2021),
Arjuman Ara Mimi,1,no,NeurWIN (NeurIPS 2021),Texas A&M University
Ashok Kumar Reddy Chavva,1,no,BeamSurfer (IEEE TWC 2022),Samsung (India)
Bryan Wilder,1,no,NeurWIN (NeurIPS 2021),
Changpeng Zhou,1,no,BeamSurfer (IEEE TWC 2022),Nanjing University of Posts and Telecommunications
Chen Yan,1,no,NeurWIN (NeurIPS 2021),University of Michigan
Chengwei Liu,1,no,NeurWIN (NeurIPS 2021),
Chia-Hsin Fan,1,no,Downlink Control Channel Schedulin (IEEE PIMRC 2018); Scheduling and Decoding of Downlin (IEEE Access 2020),National Sun Yat-sen University
Christopher G. Brinton,1,no,NeurWIN (NeurIPS 2021),
Chua-Ling Wu,1,no,Downlink Control Channel Schedulin (IEEE PIMRC 2018); Scheduling and Decoding of Downlin (IEEE Access 2020),National University of Kaohsiung
D. Kayande,1,no,NeurWIN (NeurIPS 2021),
Damiano Badini,1,no,BeamSurfer (IEEE TWC 2022),
Daniel R. Jiang,1,no,NeurWIN (NeurIPS 2021),
Dario Tagliaferri,1,no,BeamSurfer (IEEE TWC 2022),Politecnico di Milano
Debajoy Mukherjee,1,no,NeurWIN (NeurIPS 2021),
Deniz Gündüz,1,no,NeurWIN (NeurIPS 2021),Imperial College London
Elias B. Khalil,1,no,NeurWIN (NeurIPS 2021),
Francisco Robledo Relaño,1,no,NeurWIN (NeurIPS 2021),
G. Santosh,1,yes,Downlink Control Channel Schedulin (IEEE PIMRC 2018),Indian Institute of Technology Hyderabad
Gang Yan,1,no,NeurWIN (NeurIPS 2021),Binghamton University
Georges Kaddoum,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),Université du Québec à Montréal; École de Technologie Supérieure
Gongpu Chen,1,no,NeurWIN (NeurIPS 2021),
Haichuan Wang,1,no,NeurWIN (NeurIPS 2021),
Hung-Ta Chien,1,no,NeurWIN (NeurIPS 2021),Texas A&M University
I.-Hong Hou,1,yes,NeurWIN (NeurIPS 2021),
Ibrahim El Shar,1,no,NeurWIN (NeurIPS 2021),
Irfan Ahmed,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),NED University of Engineering and Technology
Jacek Kibiłda,1,no,BeamSurfer (IEEE TWC 2022),Virginia Tech
Joao F. Santos,1,no,BeamSurfer (IEEE TWC 2022),Virginia Tech
Joel Charles-Rebuff'e,1,no,NeurWIN (NeurIPS 2021),
José Niño‐Mora,1,no,NeurWIN (NeurIPS 2021),Universidad Carlos III de Madrid
K. Johansson,1,no,NeurWIN (NeurIPS 2021),
K. Khun,1,no,NeurWIN (NeurIPS 2021),
Kai Wang,1,no,NeurWIN (NeurIPS 2021),Harvard University
Kannan Srinivasan,1,no,BeamSurfer (IEEE TWC 2022),The Ohio State University
Khaled Nakhleh,1,yes,NeurWIN (NeurIPS 2021),
Khondoker Ziaul Islam,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),Murdoch University
Kyung Seok Woo,1,no,NeurWIN (NeurIPS 2021),Sandia National Laboratories California; Texas A&M University
Le Yang,1,no,NeurWIN (NeurIPS 2021),National University of Singapore
Lei Ying,1,no,NeurWIN (NeurIPS 2021),University of Michigan
Liang-Xian Li,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),National University of Kaohsiung
Ling Shi,1,no,NeurWIN (NeurIPS 2021),
Lisa Hellerstein,1,no,NeurWIN (NeurIPS 2021),
Lorenzo Cazzella,1,no,BeamSurfer (IEEE TWC 2022),Politecnico di Milano
Lorenzo Maggi,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),
Luiz A. DaSilva,1,no,BeamSurfer (IEEE TWC 2022),Virginia Tech
Manyou Ma,1,no,NeurWIN (NeurIPS 2021),University of British Columbia
Marouan Mizmizi,1,no,BeamSurfer (IEEE TWC 2022),Politecnico di Milano
Matteo Matteucci,1,no,BeamSurfer (IEEE TWC 2022),Politecnico di Milano
Md Kamran Chowdhury Shisher,1,no,NeurWIN (NeurIPS 2021),
Md Shafiullah,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),King Fahd University of Petroleum and Minerals
Md. Rabiul Islam,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),University of Wollongong
Md. Sanwar Hossain,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),Bangladesh University of Business and Technology
Minseong Park,1,no,NeurWIN (NeurIPS 2021),Sandia National Laboratories California; Stanford University; Texas A&M University
Mohsen Amiri,1,no,NeurWIN (NeurIPS 2021),
Muhammad Imran Aslam,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),NED University of Engineering and Technology
Mung Chiang,1,no,NeurWIN (NeurIPS 2021),
N. Boehmer,1,no,NeurWIN (NeurIPS 2021),
N. Madhiwalla,1,no,NeurWIN (NeurIPS 2021),
Neelesh B. Mehta,1,no,BeamSurfer (IEEE TWC 2022),Indian Institute of Science Bangalore
Ni Mu,1,no,NeurWIN (NeurIPS 2021),Shandong Institute of Automation
P. Frazier,1,no,NeurWIN (NeurIPS 2021),
Parvish Kakarapalli,1,no,NeurWIN (NeurIPS 2021),Indian Institute of Information Technology Allahabad
Paula Rodríguez Díaz,1,no,NeurWIN (NeurIPS 2021),Harvard University
Pratik Shah,1,no,NeurWIN (NeurIPS 2021),Indian Institute of Technology Bombay
R. Agrawal,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),
R. Witter,1,no,NeurWIN (NeurIPS 2021),
Raja Karmakar,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),Université du Québec à Montréal; École de Technologie Supérieure
Robert Schober,1,no,NeurWIN (NeurIPS 2021),Friedrich-Alexander-Universität Erlangen-Nürnberg
S. Kalyanasundaram,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),
S. Liew,1,no,NeurWIN (NeurIPS 2021),
S. Mukherjee,1,no,NeurWIN (NeurIPS 2021),
Samiran Chattopadhyay,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),Jadavpur University; TCG Crest
Sanket Shah,1,no,NeurWIN (NeurIPS 2021),
Saptarshi Mandal,1,no,NeurWIN (NeurIPS 2021),
Shahida Jabeen,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),Western University
Shresth Verma,1,no,NeurWIN (NeurIPS 2021),Google (United States)
Shuang Wu,1,no,NeurWIN (NeurIPS 2021),
Shuze Chen,1,no,NeurWIN (NeurIPS 2021),Columbia University
Sindri Magn'usson,1,no,NeurWIN (NeurIPS 2021),
Sonja Johnson-Yu,1,no,NeurWIN (NeurIPS 2021),Harvard University
Su-in Yi,1,no,NeurWIN (NeurIPS 2021),
Suhas Kumar,1,no,NeurWIN (NeurIPS 2021),
Sundus Ali,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),NED University of Engineering and Technology
Surya Prakash,1,no,NeurWIN (NeurIPS 2021),Indian Institute of Information Technology Allahabad
Syed Talib Abbas Jafri,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),NED University of Engineering and Technology
Systems Design,1,no,NeurWIN (NeurIPS 2021),
Tahniyat Aslam,1,no,Scheduling and Decoding of Downlin (IEEE Access 2020),NED University of Engineering and Technology
Tao Yun,1,no,NeurWIN (NeurIPS 2021),Northwestern Polytechnical University
Tejas Pagare,1,no,NeurWIN (NeurIPS 2021),
Thomas Sandholm,1,no,NeurWIN (NeurIPS 2021),
Tianyi Peng,1,no,NeurWIN (NeurIPS 2021),Columbia University
Tonghan Wang,1,no,NeurWIN (NeurIPS 2021),
Umberto Spagnolini,1,no,BeamSurfer (IEEE TWC 2022),Politecnico di Milano
