institution,country,citing_papers,authors_on_those_papers,cites_which_ganji_papers,ror
Harvard University,US,5,10,NeurWIN (NeurIPS 2021),https://ror.org/006v7bf86
Indian Institute of Technology Hyderabad,IN,5,4,Downlink Control Channel Schedulin (IEEE PIMRC 2018); Scheduling and Decoding of Downlin (IEEE Access 2020),https://ror.org/01j4v3x97
Texas A&M University,US,5,10,BeamSurfer (IEEE TWC 2022); Downlink Control Channel Schedulin (IEEE PIMRC 2018); NeurWIN (NeurIPS 2021),https://ror.org/01f5ytq51
National University of Kaohsiung,TW,4,3,Downlink Control Channel Schedulin (IEEE PIMRC 2018); Scheduling and Decoding of Downlin (IEEE Access 2020),https://ror.org/013zjb662
Northwestern Polytechnical University,CN,4,4,NeurWIN (NeurIPS 2021),https://ror.org/01y0j0j86
Centre National de la Recherche Scientifique,FR,3,1,NeurWIN (NeurIPS 2021),https://ror.org/02feahw73
Google (United States),US,3,2,NeurWIN (NeurIPS 2021),https://ror.org/00njsd438
Indian Institute of Technology Bombay,IN,3,2,NeurWIN (NeurIPS 2021),https://ror.org/02qyf5152
Institut national de recherche en sciences et technologies du numérique,FR,3,1,NeurWIN (NeurIPS 2021),https://ror.org/02kvxyf05
RMIT University,AU,3,1,NeurWIN (NeurIPS 2021),https://ror.org/04ttjf776
Binghamton University,US,2,3,NeurWIN (NeurIPS 2021),https://ror.org/008rmbt77
Carnegie Mellon University,US,2,2,NeurWIN (NeurIPS 2021),https://ror.org/05x2bcf33
Ikerbasque,ES,2,0,NeurWIN (NeurIPS 2021),https://ror.org/01cc3fy72
Indian Institute of Information Technology Allahabad,IN,2,3,NeurWIN (NeurIPS 2021),https://ror.org/03rgjt374
Indian Institute of Technology Madras,IN,2,1,NeurWIN (NeurIPS 2021),https://ror.org/03v0r5n49
Institut Polytechnique de Bordeaux,FR,2,0,NeurWIN (NeurIPS 2021),https://ror.org/054qv7y42
Institut de Recherche en Informatique de Toulouse,FR,2,0,NeurWIN (NeurIPS 2021),https://ror.org/01rx4qw44
Laboratoire de Mathématiques et de leurs Applications,FR,2,1,NeurWIN (NeurIPS 2021),https://ror.org/00g669j87
University of the Basque Country,ES,2,1,NeurWIN (NeurIPS 2021),https://ror.org/000xsnr85
Université Toulouse - Jean Jaurès,FR,2,0,NeurWIN (NeurIPS 2021),https://ror.org/04ezk3x31
Université Toulouse III - Paul Sabatier,FR,2,0,NeurWIN (NeurIPS 2021),https://ror.org/02v6kpv12
Université Toulouse-I-Capitole,FR,2,0,NeurWIN (NeurIPS 2021),https://ror.org/0443n9e75
Université de Pau et des Pays de l'Adour,FR,2,1,NeurWIN (NeurIPS 2021),https://ror.org/01frn9647
ARMMAN,US,1,0,NeurWIN (NeurIPS 2021),https://ror.org/05vfrxy92
Bangladesh University of Business and Technology,BD,1,1,Scheduling and Decoding of Downlin (IEEE Access 2020),https://ror.org/0400am365
Beijing Academy of Artificial Intelligence,CN,1,0,NeurWIN (NeurIPS 2021),https://ror.org/016a74861
Centre Inria de l'Université Grenoble Alpes,FR,1,1,NeurWIN (NeurIPS 2021),https://ror.org/00n8d6z93
China National Chemical Engineering (China),CN,1,0,NeurWIN (NeurIPS 2021),https://ror.org/04pwn6a43
China Telecom (China),CN,1,0,NeurWIN (NeurIPS 2021),https://ror.org/03jgnzt20
Columbia University,US,1,2,NeurWIN (NeurIPS 2021),https://ror.org/00hj8s172
Florida State University,US,1,1,BeamSurfer (IEEE TWC 2022),https://ror.org/05g3dte14
Friedrich-Alexander-Universität Erlangen-Nürnberg,DE,1,1,NeurWIN (NeurIPS 2021),https://ror.org/00f7hpc57
Google (United Kingdom),GB,1,2,NeurWIN (NeurIPS 2021),https://ror.org/024bc3e07
Imperial College London,GB,1,1,NeurWIN (NeurIPS 2021),https://ror.org/041kmwe10
Indian Institute of Science Bangalore,IN,1,1,BeamSurfer (IEEE TWC 2022),https://ror.org/04dese585
Institut polytechnique de Grenoble,FR,1,1,NeurWIN (NeurIPS 2021),https://ror.org/05sbt2524
Jadavpur University,IN,1,1,Scheduling and Decoding of Downlin (IEEE Access 2020),https://ror.org/02af4h012
Jouf University,SA,1,1,Scheduling and Decoding of Downlin (IEEE Access 2020),https://ror.org/02zsyt821
King Fahd University of Petroleum and Minerals,SA,1,1,Scheduling and Decoding of Downlin (IEEE Access 2020),https://ror.org/03yez3163
Laboratoire d'Informatique de Grenoble,FR,1,1,NeurWIN (NeurIPS 2021),https://ror.org/01c8rcg82
Mitchell Institute,US,1,4,BeamSurfer (IEEE TWC 2022),https://ror.org/03ds72003
Murdoch University,AU,1,1,Scheduling and Decoding of Downlin (IEEE Access 2020),https://ror.org/00r4sry34
NED University of Engineering and Technology,PK,1,5,Scheduling and Decoding of Downlin (IEEE Access 2020),https://ror.org/05db8zr24
Nanjing University of Posts and Telecommunications,CN,1,2,BeamSurfer (IEEE TWC 2022),https://ror.org/043bpky34
National Sun Yat-sen University,TW,1,2,Downlink Control Channel Schedulin (IEEE PIMRC 2018); Scheduling and Decoding of Downlin (IEEE Access 2020),https://ror.org/00mjawt10
National University of Singapore,SG,1,2,NeurWIN (NeurIPS 2021),https://ror.org/01tgyzw49
Politecnico di Milano,IT,1,5,BeamSurfer (IEEE TWC 2022),https://ror.org/01nffqt88
Samsung (India),IN,1,1,BeamSurfer (IEEE TWC 2022),https://ror.org/04cpx2569
Sandia National Laboratories California,US,1,2,NeurWIN (NeurIPS 2021),https://ror.org/058m7ey48
Shandong Institute of Automation,CN,1,2,NeurWIN (NeurIPS 2021),https://ror.org/00qdtba35
Shanghai Artificial Intelligence Laboratory,CN,1,0,NeurWIN (NeurIPS 2021),https://ror.org/03wkvpx79
Stanford University,US,1,1,NeurWIN (NeurIPS 2021),https://ror.org/00f54p054
Stony Brook University,US,1,2,NeurWIN (NeurIPS 2021),https://ror.org/05qghxh33
TCG Crest,IN,1,1,Scheduling and Decoding of Downlin (IEEE Access 2020),https://ror.org/05h2r8y34
The Ohio State University,US,1,2,BeamSurfer (IEEE TWC 2022),https://ror.org/00rs6vg23
Universidad Carlos III de Madrid,ES,1,1,NeurWIN (NeurIPS 2021),https://ror.org/03ths8210
University of British Columbia,CA,1,2,NeurWIN (NeurIPS 2021),https://ror.org/03rmrcq20
University of Louisiana at Lafayette,US,1,1,Scheduling and Decoding of Downlin (IEEE Access 2020),https://ror.org/01x8rc503
University of Michigan,US,1,2,NeurWIN (NeurIPS 2021),https://ror.org/00jmfr291
University of Wollongong,AU,1,1,Scheduling and Decoding of Downlin (IEEE Access 2020),https://ror.org/00jtmb277
Université Grenoble Alpes,FR,1,1,NeurWIN (NeurIPS 2021),https://ror.org/02rx3b187
Université du Québec à Montréal,CA,1,2,Scheduling and Decoding of Downlin (IEEE Access 2020),https://ror.org/002rjbv21
Virginia Tech,US,1,4,BeamSurfer (IEEE TWC 2022),https://ror.org/02smfhw86
Western University,CA,1,2,Scheduling and Decoding of Downlin (IEEE Access 2020),https://ror.org/02grkyz14
Zhejiang University,CN,1,2,NeurWIN (NeurIPS 2021),https://ror.org/00a2xv884
École de Technologie Supérieure,CA,1,2,Scheduling and Decoding of Downlin (IEEE Access 2020),https://ror.org/0020snb74
