citing_author,citing_papers,is_ganji_coauthor,cites_which_ganji_papers,own_institutions
Milind Tambe,10,no,NeurWIN (NeurIPS 2021),Google (United States); Harvard University
P. R. Kumar,8,yes,A directional medium access contro (COMSNETS 2018); BeamSurfer (IEEE TWC 2022); Beamsurfer (SIGCOMM'20 Posters); Iris (COMSNETS 2019); Terra (SIGCOMM'22 Posters); Unblock (COMSNETS 2021),Mitchell Institute; Texas A&M University
Santosh Ganji,8,yes,BeamSurfer (IEEE TWC 2022); Beamsurfer (SIGCOMM'20 Posters); Downlink control channel schedulin (IEEE PIMRC 2018); Novel rate matching scheme for dow (COMSNETS 2018); Seeing the Unseen (ACM S3 Workshop 2023); Terra (SIGCOMM'22 Posters); Unblock (COMSNETS 2021),Mitchell Institute; Texas A&M University
Jiaxing Li,7,no,NeurWIN (NeurIPS 2021); Seeing the Unseen (IEEE TWC 2024),Binghamton University; Stony Brook University
Konstantin Avrachenkov,7,no,NeurWIN (NeurIPS 2021),Institut national de recherche en sciences et technologies du numérique
Aparna Taneja,6,no,NeurWIN (NeurIPS 2021),
Guojun Xiong,6,no,NeurWIN (NeurIPS 2021),Binghamton University; Stony Brook University
Abhinav Kumar,5,yes,Downlink control channel schedulin (IEEE PIMRC 2018); Improved physical downlink control (COMSNETS 2018); Novel rate matching scheme for dow (COMSNETS 2018); Scheduling and Decoding of Downlin (IEEE Access 2020),Indian Institute of Technology; Indian Institute of Technology Hyderabad
Dinesh Bharadia,5,yes,NeurWIN (NeurIPS 2021); Realtime intelligent control for N (MobiSys 2022); Terra (SIGCOMM'22 Posters); Unblock (COMSNETS 2021),
Jaewon Kim,5,yes,BeamSurfer (IEEE TWC 2022); Beamsurfer (SIGCOMM'20 Posters); Realtime intelligent control for N (MobiSys 2022); Terra (SIGCOMM'22 Posters); Unblock (COMSNETS 2021),Texas A&M University
Kiran Kuchi,5,yes,Downlink control channel schedulin (IEEE PIMRC 2018); Improved physical downlink control (COMSNETS 2018); Novel rate matching scheme for dow (COMSNETS 2018); Scheduling and Decoding of Downlin (IEEE Access 2020),Indian Institute of Technology; Indian Institute of Technology Hyderabad
Lily Xu,5,no,NeurWIN (NeurIPS 2021),Harvard University
Dheeraj M. Nagaraj,4,no,NeurWIN (NeurIPS 2021),
M. Pavan Reddy,4,yes,Downlink control channel schedulin (IEEE PIMRC 2018); Novel rate matching scheme for dow (COMSNETS 2018),Indian Institute of Technology Hyderabad
Srinivas Shakkottai,4,yes,NeurWIN (NeurIPS 2021); Realtime intelligent control for N (MobiSys 2022),
Tzu-Hsiang Lin,4,yes,BeamSurfer (IEEE TWC 2022); Beamsurfer (SIGCOMM'20 Posters); Iris (COMSNETS 2019); Unblock (COMSNETS 2021),Mitchell Institute; Texas A&M University
Vivek S. Borkar,4,no,NeurWIN (NeurIPS 2021),Indian Institute of Technology Bombay
Ya-Ju Yu,4,no,Downlink control channel schedulin (IEEE PIMRC 2018); Scheduling and Decoding of Downlin (IEEE Access 2020),National University of Kaohsiung
Yunfan Zhao,4,no,NeurWIN (NeurIPS 2021),Harvard University
Arpita Biswas,3,no,NeurWIN (NeurIPS 2021),Harvard University
Edwin Zhang,3,no,NeurWIN (NeurIPS 2021),Harvard University
F. I. P. R. Kumar,3,yes,Beamsurfer (SIGCOMM'20 Posters); Seeing the Unseen (ACM S3 Workshop 2023); Unblock (COMSNETS 2021),
